model_name,experiment,paradigm,system,combined,distribution,is_lora,step,sst2_val_acc,sst2_val_f1,qqp_val_acc,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,train_acc,train_loss,time_step,gpu_mem_step
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,12,0.8027522935779816,0.8146551724137931,0.0,0.0,0.0,0.0,0.8027522935779816,0.1705775773813936,201.888491,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,13,0.8073394495412844,0.8141592920353983,0.0,0.0,0.0,0.0,0.8073394495412844,0.1639807962646125,191.86518,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,14,0.8107798165137615,0.8168701442841287,0.0,0.0,0.0,0.0,0.8107798165137615,0.1628218308443526,189.982624,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,15,0.8107798165137615,0.8220064724919094,0.0,0.0,0.0,0.0,0.8107798165137615,0.153087279526177,191.123753,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,16,0.8073394495412844,0.8157894736842105,0.0,0.0,0.0,0.0,0.8073394495412844,0.1481663705727622,203.1842,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,17,0.8096330275229358,0.8191721132897604,0.0,0.0,0.0,0.0,0.8096330275229358,0.1457327927559524,190.355094,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,18,0.8096330275229358,0.8187772925764192,0.0,0.0,0.0,0.0,0.8096330275229358,0.1417540287915432,192.448164,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,19,0.8119266055045872,0.8209606986899564,0.0,0.0,0.0,0.0,0.8119266055045872,0.1368165920102831,188.005761,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,20,0.8073394495412844,0.8193548387096774,0.0,0.0,0.0,0.0,0.8073394495412844,0.1372257389489291,199.810646,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,21,0.805045871559633,0.8168103448275862,0.0,0.0,0.0,0.0,0.805045871559633,0.1312812449172491,192.926231,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,22,0.8142201834862385,0.8219780219780219,0.0,0.0,0.0,0.0,0.8142201834862385,0.1307372989879193,193.836839,0.3427341380503592
